"barcode","SampleType","RawCount","logCPM","CD8_Tscore","Tcell_score","Leukocyte_score"
"TCGA-HZ-A9TJ","Metastatic",21556,8.66042500125496,111,85,545
"TCGA-HZ-A9TJ","Metastatic",21556,8.66042500125496,83,94.3333333333333,510
"TCGA-HZ-A9TJ","Primary Tumor",3814,6.60991531027069,111,85,545
"TCGA-HZ-A9TJ","Primary Tumor",3814,6.60991531027069,83,94.3333333333333,510
"TCGA-IB-7644","Primary Tumor",8347,7.08369347041303,306.5,512.333333333333,3542
"TCGA-IB-7645","Primary Tumor",8527,7.27297507917193,1250.5,1349.66666666667,10616
"TCGA-IB-7646","Primary Tumor",5676,7.14874841992237,238.5,242.333333333333,3384
"TCGA-IB-7647","Primary Tumor",17642,7.76474719217592,787,1814.33333333333,16254
"TCGA-IB-7649","Primary Tumor",5478,7.38503689371464,406.5,623.666666666667,3694
"TCGA-IB-7651","Primary Tumor",7043,6.55101472669138,1345.5,1036.66666666667,9419
"TCGA-IB-7652","Primary Tumor",16220,7.73922780925602,190,361,7791
"TCGA-IB-7654","Primary Tumor",22552,8.46986626249623,197.5,274,2052
"TCGA-IB-7885","Primary Tumor",8481,7.08108825122791,500.5,808.333333333333,4272
"TCGA-IB-7886","Primary Tumor",14653,7.98851730329705,421.5,554.666666666667,4070
"TCGA-IB-7887","Primary Tumor",9060,7.2044303538061,655.5,522,2146
"TCGA-IB-7888","Primary Tumor",5974,7.16952335775187,432,868,7843
"TCGA-IB-7889","Primary Tumor",43707,9.66688270645417,685.5,1038.66666666667,4013
"TCGA-IB-7890","Primary Tumor",23896,9.1958326686352,62,88,2768
"TCGA-IB-7891","Primary Tumor",11920,7.83696964241057,684.5,804.666666666667,7248
"TCGA-IB-7893","Primary Tumor",12801,7.93487109098454,160.5,153.666666666667,3434
"TCGA-IB-7897","Primary Tumor",11935,7.37590026596854,1493,1572,14100
"TCGA-IB-8126","Primary Tumor",9071,7.82372865567278,893.5,889,6645
"TCGA-IB-8127","Primary Tumor",27517,8.25158942379764,1110,912.333333333333,8306
"TCGA-IB-A5SO","Primary Tumor",5034,6.37829063805733,632,699.333333333333,5177
"TCGA-IB-A5SP","Primary Tumor",4775,6.86451629639409,76,120,752
"TCGA-IB-A5SQ","Primary Tumor",6271,7.04425919945021,289.5,384.666666666667,2876
"TCGA-IB-A5SS","Primary Tumor",12524,7.92587005110268,232.5,204.333333333333,2143
"TCGA-IB-A5ST","Primary Tumor",8001,7.2161956304803,543.5,1529,9265
"TCGA-IB-A6UF","Primary Tumor",6494,7.04009308431617,75.5,80.3333333333333,663
"TCGA-IB-A6UG","Primary Tumor",9524,7.69904349763341,218.5,357.666666666667,1967
"TCGA-IB-A7LX","Primary Tumor",12022,7.83820899710852,206.5,202.666666666667,1015
"TCGA-IB-A7M4","Primary Tumor",6197,7.18493324603096,487.5,643.666666666667,2148
"TCGA-IB-AAUM","Primary Tumor",6770,7.48402690329788,299.5,357.333333333333,1773
"TCGA-IB-AAUN","Primary Tumor",22054,9.05005045177018,218.5,204,857
"TCGA-IB-AAUO","Primary Tumor",6410,6.98686861037018,196,302.333333333333,1173
"TCGA-IB-AAUP","Primary Tumor",15232,8.05265414134919,835,2784,18552
"TCGA-IB-AAUQ","Primary Tumor",19998,8.98715840245904,109.5,143,687
"TCGA-IB-AAUR","Primary Tumor",9171,7.33820971587618,1782.5,2760.66666666667,17208
"TCGA-IB-AAUS","Primary Tumor",7081,7.18816767237828,854,798,6334
"TCGA-IB-AAUT","Primary Tumor",5490,7.07601763195334,840.5,970.333333333333,4120
"TCGA-IB-AAUU","Primary Tumor",4533,6.4396933792471,138.5,265,2462
