"barcode","SampleType","RawCount","logCPM","CD8_Tscore","Tcell_score","Leukocyte_score"
"TCGA-CN-6013","Primary Tumor",25583,8.87226056282416,879.5,1048.33333333333,4980
"TCGA-CN-6016","Primary Tumor",14103,8.38936934897667,143,555.666666666667,1503
"TCGA-CN-6017","Primary Tumor",20728,9.02958139347703,1908.5,1467.33333333333,5865
"TCGA-CN-6018","Primary Tumor",54944,10.0955284037438,348,409,2604
"TCGA-CN-6019","Primary Tumor",17584,8.6180943000525,479,637.333333333333,4003
"TCGA-CN-6020","Primary Tumor",37131,9.55746029340605,79.5,289,1724
"TCGA-CN-6021","Primary Tumor",45446,9.87314264526911,193,304.333333333333,1805
"TCGA-CN-6022","Primary Tumor",58586,9.76646344388092,82.5,383,3601
"TCGA-CN-6023","Primary Tumor",30971,8.20958700623201,3503,2219.66666666667,7544
"TCGA-CN-6024","Primary Tumor",31186,9.24608793632613,14,38.3333333333333,227
"TCGA-CN-6988","Primary Tumor",22471,8.18824167063876,52,58.3333333333333,231
"TCGA-CN-6989","Primary Tumor",35019,8.8294910973914,101,698.666666666667,5577
"TCGA-CN-6992","Primary Tumor",34256,8.53143119095899,139,327.333333333333,2307
"TCGA-CN-6994","Primary Tumor",17019,8.41458439914095,104,168.333333333333,1079
"TCGA-CN-6995","Primary Tumor",46387,9.77734193903254,1093,1212.66666666667,1971
"TCGA-CN-6996","Primary Tumor",32951,8.94870141106668,587,1190.66666666667,8558
"TCGA-CN-6997","Primary Tumor",81067,9.71774363606254,75,159,1344
"TCGA-CN-6998","Primary Tumor",74656,10.4622422062391,193.5,292.333333333333,849
"TCGA-CN-A497","Primary Tumor",16215,8.26060752554454,109,337,1639
"TCGA-CN-A498","Primary Tumor",22417,8.86588460939101,262.5,296,1111
"TCGA-CN-A499","Primary Tumor",25367,8.81232260953503,1053.5,811.666666666667,4065
"TCGA-CN-A49A","Primary Tumor",34060,8.96292394460839,40,41.6666666666667,157
"TCGA-CN-A49B","Primary Tumor",27437,9.14263961417344,588.5,778.333333333333,2459
"TCGA-CN-A49C","Primary Tumor",25681,8.9562500528571,175.5,283.666666666667,859
"TCGA-CN-A63T","Primary Tumor",22737,8.7447292732366,356.5,760.333333333333,1597
"TCGA-CN-A63U","Primary Tumor",32592,9.09293240808647,22.5,59.3333333333333,149
"TCGA-CN-A63V","Primary Tumor",25222,9.11607666049092,98,179.333333333333,580
"TCGA-CN-A63W","Primary Tumor",40117,9.35130581138551,193,250.666666666667,451
"TCGA-CN-A641","Primary Tumor",14018,7.88488101495193,32,203,440
"TCGA-CN-A642","Primary Tumor",22744,8.73519966301794,688.5,616,1584
"TCGA-CN-A6UY","Primary Tumor",18163,8.62430974249498,1158,1480.66666666667,978
