"barcode","SampleType","RawCount","logCPM","CD8_Tscore","Tcell_score","Leukocyte_score"
"TCGA-AP-A0LN","Primary Tumor",8637,8.99659546847043,152.5,89.3333333333333,134
"TCGA-AP-A0LO","Primary Tumor",4432,7.80931415996859,29.5,100.666666666667,147
"TCGA-AP-A0LP","Primary Tumor",2170,6.72326056989802,61,181.666666666667,217
"TCGA-AP-A0LS","Primary Tumor",3010,7.07698041302196,177.5,162.333333333333,226
"TCGA-AP-A0LT","Primary Tumor",1901,6.27664980721094,141.5,154.333333333333,138
"TCGA-AP-A0LV","Primary Tumor",5817,7.92179880255229,246,67.3333333333333,172
"TCGA-AP-A1DH","Primary Tumor",546,4.74299646220877,541,639,545
"TCGA-AP-A1DK","Primary Tumor",3845,6.96347821845877,400,617.666666666667,901
"TCGA-AP-A1DM","Primary Tumor",3834,7.32098600775387,146.5,210,216
"TCGA-AP-A1DO","Primary Tumor",1744,6.06218041653046,212,163,172
"TCGA-AP-A1DP","Primary Tumor",3405,7.27732566808698,27.5,51.3333333333333,84
"TCGA-AP-A1DQ","Primary Tumor",3166,6.72562448236131,378.5,215.333333333333,360
"TCGA-AP-A1DR","Primary Tumor",3188,7.08551819735842,132.5,114,176
"TCGA-AP-A1DV","Primary Tumor",3499,6.96951409412968,136,197.333333333333,177
"TCGA-AP-A1E0","Primary Tumor",8167,8.29660713446888,97.5,166.666666666667,271
"TCGA-AP-A1E1","Primary Tumor",16300,9.16112833178021,123,244.666666666667,467
"TCGA-AP-A1E3","Primary Tumor",1443,5.87960504964542,101.5,161,135
"TCGA-AP-A1E4","Primary Tumor",1836,6.2729462421633,4.5,4.66666666666667,25
"TCGA-AP-A3K1","Primary Tumor",4270,6.88620294485378,25,25.3333333333333,189
"TCGA-AP-A5FX","Primary Tumor",10232,8.05010621877181,280,254.333333333333,652
"TCGA-AW-A1PO","Primary Tumor",3127,6.69410669154993,14.5,15.3333333333333,82
"TCGA-AX-A05S","Primary Tumor",7293,9.48573002708929,44,70,123
"TCGA-AX-A05T","Primary Tumor",2342,8.05265043351254,138.5,20.3333333333333,122
"TCGA-AX-A05U","Primary Tumor",13143,9.44174657850854,30.5,7.33333333333333,169
"TCGA-AX-A05W","Primary Tumor",4825,7.68430825921288,45.5,107.333333333333,260
"TCGA-AX-A05Y","Solid Tissue Normal",20112,8.89899742732272,218.5,238.666666666667,1527
"TCGA-AX-A05Y","Solid Tissue Normal",20112,8.89899742732272,146.5,24.6666666666667,48
"TCGA-AX-A05Y","Primary Tumor",11970,8.93632486489734,218.5,238.666666666667,1527
"TCGA-AX-A05Y","Primary Tumor",11970,8.93632486489734,146.5,24.6666666666667,48
